epoch,val_loss,progress,stage,delta_scale,gamma_scale
1,1.24577796459198,0.0019230769230769232,1,0.0,0.0
20,0.09675711393356323,0.038461538461538464,1,0.0,0.0
40,0.18557393550872803,0.07692307692307693,1,0.0,0.0
60,0.09830030798912048,0.11538461538461539,1,0.0,0.0
80,0.13501431047916412,0.15384615384615385,1,0.0,0.0
100,0.1446978598833084,0.19230769230769232,1,0.0,0.0
120,0.07862157374620438,0.23076923076923078,1,0.0,0.0
140,0.12471941858530045,0.2692307692307692,1,0.0,0.0
160,0.13936372101306915,0.3076923076923077,1,0.0,0.0
180,0.08042741566896439,0.34615384615384615,1,0.0,0.0
200,0.13434375822544098,0.38461538461538464,1,0.0,0.0
220,0.19289708137512207,0.4230769230769231,2,0.017094017094017158,0.0
240,1.0946462154388428,0.46153846153846156,2,0.230769230769231,0.0
260,1.3755481243133545,0.5,2,0.44444444444444453,0.0
280,1.2401530742645264,0.5384615384615384,2,0.6581196581196581,0.0
300,0.8509023189544678,0.5769230769230769,2,0.8717948717948716,0.0
