panel,n,sigma_min,sigma_max,rho_min,rho_max,T_min,T_max
train,260,0.18044615314135454,0.34978646280874415,0.03036930097856633,0.1795655396252055,0.5014665882609934,1.4982878484252982
validation,80,0.1811786879207318,0.3495269651022328,0.030628388191725215,0.17839610799764385,0.5014534784120117,1.4978193345310973
test,120,0.15028746078632577,0.3992034563118553,0.011531352316627294,0.19903540690301277,0.25753616417365083,1.997705200429416
stress_barrier,80,0.15048983491329496,0.3481354873618183,0.0020526542805508895,0.02969590746106856,0.3138927782825026,1.4867515026982803
stress_short_lowvol,70,0.1207815707495749,0.19946044975275315,0.010620241003938179,0.0992398502148782,0.05196225768444414,0.3477060217634211
stress_wide,90,0.1211277150913175,0.3974659438312893,0.002057111454567658,0.14896527575808835,0.05855756838659636,0.9921616275263662
