epoch,stage,sampling_mode,total,pde,boundary,positivity,w_pde,w_terminal,w_anchor,w_farfield,w_boundary,w_positivity,grad_norm,val_price_q95,val_low_rho_q95,val_residual_q95,val_composite,best_val_composite
1,adam,static_oversampling,7.170496940612793,10.353721618652344,0.0,0.0,0.07376201319397262,43.48101278248962,27.037463736426787,7.826678939364689,0.0,0.0,8.924835013018644,598.1609383403736,514.5403609975458,4.71245386600494,598.1609383403736,598.1609383403736
26,adam,static_oversampling,2.0365495681762695,0.5485347509384155,0.0,0.0,0.12181737021715282,41.59172902685865,26.287102048323746,8.422765187198808,0.0,0.0,5.316291174389446,211.4931409534731,128.6712601297345,1.1494291007518762,211.4931409534731,211.4931409534731
52,adam,static_oversampling,0.15746566653251648,0.05491826683282852,0.0,0.0,0.35151365934364576,39.3438956743515,25.31518822249753,9.35583220648256,0.0,0.0,2.522300168288714,33.36307311406795,33.985399623382655,0.31916419267654417,33.985399623382655,33.985399623382655
78,adam,static_oversampling,0.0513867624104023,0.008060241118073463,0.0,0.0,1.0463319544107077,37.5375,24.615000000000002,9.120000000000001,0.0,0.0,0.7163810337429939,31.402158356413302,34.19770633601938,0.16448066085577012,34.19770633601938,33.985399623382655
104,adam,full_baac,0.03691774606704712,0.005206143483519554,0.0,0.0,1.1478942385652937,36.050000000000004,24.119999999999994,8.959999999999999,0.0,0.0,0.2330558454779514,30.247642699346223,33.160417600675835,0.1649807870388031,33.160417600675835,33.160417600675835
130,adam,full_baac,0.02708972617983818,0.00394365843385458,0.0,0.0,1.2547149699531195,34.56250000000001,23.625000000000004,8.8,0.0,0.0,0.0882380297813738,28.433023657588635,30.96854181286982,0.14194364696741105,30.96854181286982,30.96854181286982
156,adam,full_baac,0.021802524104714394,0.0034375046379864216,0.0,0.0,1.3659222216295683,33.074999999999996,23.13,8.64,0.0,0.0,0.2628710314282192,28.305954058929228,30.52804718391652,0.12950405478477478,30.52804718391652,30.52804718391652
182,adam,full_baac,0.020581571385264397,0.002793246181681752,0.0,0.0,1.4809149898031169,31.587499999999995,22.634999999999998,8.479999999999999,0.0,0.0,0.43964805438839705,27.363441118893903,29.26633181737036,0.1172405757009983,29.26633181737036,29.26633181737036
208,adam,full_baac,0.015348300337791443,0.002266000024974346,0.0,0.0,1.5992510791057983,30.099999999999994,22.14,8.32,0.0,0.0,0.20517730634874654,26.770191286993896,28.36294028658326,0.10973340049386024,28.36294028658326,28.36294028658326
234,adam,full_baac,0.0174521766602993,0.00218174047768116,0.0,0.0,1.720590011076132,28.612499999999994,21.644999999999996,8.16,0.0,0.0,0.0806189909559533,26.836291477173035,28.169068147379548,0.10316450931131839,28.169068147379548,28.169068147379548
