Method,Wall-clock (s),Median RE (%),q95 RE (%),Worst-case RE (%),Points
FDM,3.407854499999303,3.5163896817448634e-05,0.0009348685875941989,0.016896032910254835,10000
PINN,1.5530362999998033,3.626779616241077,18.665813085697106,308297462761402.1,10000
Supervised surrogate,1.8918033999998443,0.8455676045559467,7.461486639003823,836191792041.0634,10000
