epoch,stage,sampling_mode,total,pde,boundary,positivity,w_pde,w_terminal,w_anchor,w_farfield,w_boundary,w_positivity,grad_norm,val_price_q95,val_low_rho_q95,val_residual_q95,val_composite,best_val_composite
1,adam,static_oversampling,17.92321014404297,0.00471772626042366,0.0003508222580421716,0.0,1.2073516952526462,32.74871309427542,34.408995766132854,3.973443947515726,18.08041296829841,0.0,71.62847093091119,334.838504387748,418.12796570675783,0.06666111350059495,418.12796570675783,418.12796570675783
26,adam,static_oversampling,1.2828737497329712,0.0678899735212326,0.0024712271988391876,0.0,0.9113541781950564,42.63847427062305,26.948673463728557,5.2951877768865705,12.629723943165114,0.0,5.774060689305771,1176.1583231069571,1309.0926082147153,0.49098584651947014,1309.0926082147153,418.12796570675783
52,adam,static_oversampling,0.1050671860575676,0.02958027273416519,0.0016819556476548314,0.0,0.9514297626752463,39.025,25.109999999999996,9.28,12.0,0.0,2.164239988037606,602.7581683698676,610.1231959480571,0.14378718286752676,610.1231959480571,418.12796570675783
78,adam,static_oversampling,0.05986389145255089,0.007211026269942522,0.0013291893992573023,0.0,1.0463319544107077,37.5375,24.615000000000002,9.120000000000001,12.000000000000002,0.0,0.3619201196756418,676.4739371550108,854.5193733451464,0.0794791780412197,854.5193733451464,418.12796570675783
104,adam,full_baac,0.04154330492019653,0.0020868713036179543,0.0008689224487170577,0.0,1.1478942385652937,36.050000000000004,24.119999999999994,8.959999999999999,12.0,0.0,0.27499731406951117,577.6688844696491,770.6875317490938,0.0711770623922348,770.6875317490938,418.12796570675783
130,adam,full_baac,0.023664090782403946,0.001502625411376357,0.0005958756082691252,0.0,1.2547149699531193,34.5625,23.625,8.799999999999999,12.0,0.0,0.1755224141295129,570.6828831470203,835.479534934302,0.06587218940258026,835.479534934302,418.12796570675783
156,adam,full_baac,0.022639285773038864,0.0013672772329300642,0.0006671990850009024,0.0,1.3659222216295683,33.074999999999996,23.13,8.64,12.0,0.0,0.10203067425173636,537.9214916559779,798.7938425314333,0.06340838596224785,798.7938425314333,418.12796570675783
528,lbfgs,full_baac,4.321361064910889,0.01734411157667637,0.11560174822807312,0.0,3.2,12.25,16.2,6.3999999999999995,12.0,0.0,,9316.695723760487,9825.767218312403,0.2242439910769462,9825.767218312403,418.12796570675783
536,lbfgs,full_baac,0.22629037499427795,0.018990136682987213,0.0007226241286844015,0.0,3.2,12.25,16.2,6.3999999999999995,12.0,0.0,,796.4563286294725,1125.5627812656953,0.25538210719823834,1125.5627812656953,418.12796570675783
