epoch,stage,sampling_mode,total,pde,boundary,positivity,w_pde,w_terminal,w_anchor,w_farfield,w_boundary,w_positivity,grad_norm,val_price_q95,val_low_rho_q95,val_residual_q95,val_composite,best_val_composite
1,adam,static_oversampling,6.976752758026123,11.041799545288086,0.0,0.0,0.07127199078528441,43.38678473326611,26.978870633350294,7.9819901140733815,0.0,0.0,7.622267032017713,602.5107542305393,526.009269121717,4.70362584590911,602.5107542305393,602.5107542305393
26,adam,static_oversampling,1.4521982669830322,1.161991834640503,0.0,0.0,0.11165879239326373,41.39378536566775,26.161996279862333,8.755973194675011,0.0,0.0,4.391649920753146,197.68155909808206,145.7535891681896,1.1961008667945856,197.68155909808206,197.68155909808206
52,adam,static_oversampling,0.16397646069526672,0.27834826707839966,0.0,0.0,0.2751605561751114,39.38448247338647,25.34130313662355,9.365483596490106,0.0,0.0,1.534066755343925,40.39428558032688,40.584223862485224,0.4312909632921213,40.584223862485224,40.584223862485224
78,adam,static_oversampling,0.039967022836208344,0.0057632578536868095,0.0,0.0,0.7965785297535289,37.6690390813858,24.70125599702461,9.15195834624678,0.0,0.0,0.5522747718513539,39.68633960451013,42.78484718295831,0.1428734727203846,42.78484718295831,40.584223862485224
104,adam,full_baac,0.029381155967712402,0.004733232781291008,0.0,0.0,1.1478942385652937,36.050000000000004,24.119999999999994,8.959999999999999,0.0,0.0,0.12736657105699664,36.96275277979608,40.10429417570107,0.14532391726970673,40.10429417570107,40.10429417570107
130,adam,full_baac,0.030239921063184738,0.004047076683491468,0.0,0.0,1.2547149699531195,34.56250000000001,23.625000000000004,8.8,0.0,0.0,0.32312468565869884,33.96640789774384,36.72677826552611,0.13300911858677864,36.72677826552611,36.72677826552611
156,adam,full_baac,0.025645378977060318,0.0032771809492260218,0.0,0.0,1.3659222216295683,33.074999999999996,23.13,8.64,0.0,0.0,0.08074466146483474,32.953749806614496,35.35324600224098,0.12654867991805077,35.35324600224098,35.35324600224098
182,adam,full_baac,0.01911240629851818,0.0028922869823873043,0.0,0.0,1.4809149898031169,31.587499999999995,22.634999999999998,8.479999999999999,0.0,0.0,0.3471878998537201,30.657974354897043,32.738089519924415,0.1197303757071495,32.738089519924415,32.738089519924415
208,adam,full_baac,0.016312608495354652,0.0026983662974089384,0.0,0.0,1.5992510791057983,30.099999999999994,22.14,8.32,0.0,0.0,0.10660481116562422,30.233060255563206,32.14951945621074,0.11610936820507049,32.14951945621074,32.14951945621074
234,adam,full_baac,0.016940193250775337,0.0026469631120562553,0.0,0.0,1.720590011076132,28.612499999999994,21.644999999999996,8.16,0.0,0.0,0.1853468316569688,28.268764987210027,29.855975774419313,0.11055344268679619,29.855975774419313,29.855975774419313
260,adam,full_baac,0.01580248400568962,0.0025645254645496607,0.0,0.0,1.8446606759553488,27.124999999999993,21.149999999999995,8.0,0.0,0.0,0.04520541501976114,27.424399587219895,28.791207304437105,0.10732612051069736,28.791207304437105,28.791207304437105
286,adam,full_baac,0.01417642179876566,0.0024100509472191334,0.0,0.0,1.9712415458035502,25.637499999999996,20.655,7.839999999999999,0.0,0.0,0.03250457593563792,26.226637003473215,27.41680767718289,0.10515147894620894,27.41680767718289,27.41680767718289
312,adam,full_baac,0.014054080471396446,0.002419946249574423,0.0,0.0,2.1001478500843054,24.149999999999995,20.159999999999997,7.68,0.0,0.0,0.04024675198457787,25.50992125845881,26.56373765002329,0.10501280352473259,26.56373765002329,26.56373765002329
338,adam,full_baac,0.012305489741265774,0.0023909369483590126,0.0,0.0,2.2312228776723773,22.662499999999998,19.664999999999996,7.52,0.0,0.0,0.04538052162472737,24.551272545871786,25.43775437802349,0.106095078215003,25.43775437802349,25.43775437802349
364,adam,full_baac,0.013064749538898468,0.0023652492091059685,0.0,0.0,2.364331857359327,21.174999999999997,19.169999999999998,7.359999999999999,0.0,0.019999999999999973,0.14908543424058832,23.732775760142495,24.55018871091727,0.10784606263041496,24.55018871091727,24.55018871091727
390,adam,full_baac,0.011403507553040981,0.0023402520455420017,0.0,0.0,2.4993575203308236,19.687500000000004,18.674999999999997,7.2,0.0,0.04,0.06423329695150684,23.211821638220044,23.968880950298388,0.10772593468427656,23.968880950298388,23.968880950298388
416,adam,full_baac,0.011079837568104267,0.0022370214574038982,0.0,0.0,2.636196799596872,18.2,18.18,7.04,0.0,0.06000000000000002,0.1256017651880911,22.617598138627127,23.360751115318653,0.10663235932588577,23.360751115318653,23.360751115318653
442,adam,full_baac,0.010516892187297344,0.0022257657255977392,0.0,0.0,2.7747583214050624,16.712500000000006,17.685000000000002,6.880000000000001,0.0,0.08,0.054299957620702215,22.317946877733984,23.025257954841848,0.10683294385671616,23.025257954841848,23.025257954841848
468,adam,full_baac,0.01001790352165699,0.002155998023226857,0.0,0.0,2.9149604626997108,15.225,17.19,6.72,0.0,0.08000000000000002,0.06464910620978485,22.18010428507105,22.893160620792347,0.10505277067422866,22.893160620792347,22.893160620792347
494,adam,full_baac,0.01129455491900444,0.0021104884799569845,0.0,0.0,3.056729822246334,13.737499999999999,16.695,6.559999999999999,0.0,0.08,0.026007666828158724,21.815450618815095,22.53399448571283,0.1043508157134056,22.53399448571283,22.53399448571283
520,adam,full_baac,0.01220684964209795,0.0020955782383680344,0.0,0.0,3.2000000000000006,12.250000000000002,16.2,6.4,0.0,0.08000000000000002,0.06702783802315761,21.493385365665805,22.166224553453933,0.10561151839792726,22.166224553453933,22.166224553453933
528,lbfgs,full_baac,0.009282251819968224,0.002087945584207773,0.0,0.0,3.2000000000000006,12.250000000000002,16.2,6.4,0.0,0.08000000000000002,,21.79896642791141,22.479885022597248,0.1045174241065979,22.479885022597248,22.166224553453933
536,lbfgs,full_baac,0.009904967620968819,0.002026807516813278,0.0,0.0,3.2000000000000006,12.250000000000002,16.2,6.4,0.0,0.08000000000000002,,21.753094659527143,22.610032600229953,0.10216416344046593,22.610032600229953,22.166224553453933
