Nx,Nt,Max Abs Error,Median Relative Error (%),95th Relative Error (%),Delta AE,Gamma AE,Runtime per Contract (s)
200,500,0.015459649218044547,0.008058063001346403,0.11942027392791277,0.00013066557062030304,0.00040195649883736933,0.006239466666860001
400,1000,0.015359747347801544,0.0034330722032555414,0.03698845122459728,6.498852291403345e-05,0.0001578537580884186,0.013125683332570285
800,2000,0.015337981044311277,0.0010585276356124217,0.020613807964829464,5.969826879259621e-05,7.823229337713616e-05,0.03650378333259141
1200,3000,0.015334901149735458,0.0006582791316618033,0.017897719088939612,2.7858094592492222e-05,5.319713961958667e-05,0.06404860000050878
1600,4000,0.015333479653776294,0.00023327312192412486,0.013853716090019348,1.2977111533363228e-05,4.072738432324736e-05,0.10023563333318937
