epoch,val_loss,progress,stage,delta_scale,gamma_scale
1,2079.103271484375,0.0019230769230769232,1,0.0,0.0
20,5.141089916229248,0.038461538461538464,1,0.0,0.0
40,0.7490236163139343,0.07692307692307693,1,0.0,0.0
60,0.686653196811676,0.11538461538461539,1,0.0,0.0
80,0.6632876992225647,0.15384615384615385,1,0.0,0.0
100,0.5981999635696411,0.19230769230769232,1,0.0,0.0
120,0.905648410320282,0.23076923076923078,1,0.0,0.0
140,0.68058842420578,0.2692307692307692,1,0.0,0.0
160,0.600562572479248,0.3076923076923077,1,0.0,0.0
180,0.4666193723678589,0.34615384615384615,1,0.0,0.0
200,0.4022946357727051,0.38461538461538464,1,0.0,0.0
220,0.3683595657348633,0.4230769230769231,1,0.0,0.0
240,0.41706833243370056,0.46153846153846156,1,0.0,0.0
260,0.3405705392360687,0.5,1,0.0,0.0
280,0.3156597316265106,0.5384615384615384,1,0.0,0.0
300,0.32108449935913086,0.5769230769230769,1,0.0,0.0
320,0.2855207026004791,0.6153846153846154,1,0.0,0.0
340,0.3346695005893707,0.6538461538461539,1,0.0,0.0
360,0.21859121322631836,0.6923076923076923,1,0.0,0.0
380,0.19467061758041382,0.7307692307692307,1,0.0,0.0
400,0.1833062618970871,0.7692307692307693,1,0.0,0.0
420,0.17027069628238678,0.8076923076923077,1,0.0,0.0
440,0.2020399123430252,0.8461538461538461,1,0.0,0.0
460,0.12576308846473694,0.8846153846153846,1,0.0,0.0
480,0.15452416241168976,0.9230769230769231,1,0.0,0.0
500,0.12380024790763855,0.9615384615384616,1,0.0,0.0
520,0.11157763004302979,1.0,1,0.0,0.0
