epoch,stage,sampling_mode,total,pde,boundary,positivity,w_pde,w_terminal,w_anchor,w_farfield,w_boundary,w_positivity,grad_norm,val_price_q95,val_low_rho_q95,val_residual_q95,val_composite,best_val_composite
1,adam,static_oversampling,7.330832004547119,9.522125244140625,0.0,0.0,0.07759914522447467,42.906978310181586,27.27776783329982,8.156572182769207,0.0,0.0,9.985033519501888,580.7522437579988,537.7270776490012,4.857283973693841,580.7522437579988,580.7522437579988
26,adam,static_oversampling,1.6413414478302002,1.7100818157196045,0.0,0.0,0.11118630249818383,41.073032056646625,25.959271479430715,9.279923794022823,0.0,0.0,5.027859327174209,227.4672623789495,155.69758699812164,1.5296094000339477,227.4672623789495,227.4672623789495
52,adam,static_oversampling,0.20419228076934814,0.259304940700531,0.0,0.0,0.2580093913377805,39.39359946865687,25.34716931858998,9.367651584090602,0.0,0.0,1.5507808319627496,50.166166743254664,49.154021075692036,0.6338207483291624,50.166166743254664,50.166166743254664
78,adam,static_oversampling,0.0918344110250473,0.02390008047223091,0.0,0.0,0.7505974335526864,37.69325621139581,24.717136240919288,9.157842068542918,0.0,0.0,1.6807598134394026,31.065356319807975,31.754702754790088,0.2826015204191208,31.754702754790088,31.754702754790088
104,adam,full_baac,0.059879500418901443,0.012302862480282784,0.0,0.0,1.1478942385652937,36.050000000000004,24.119999999999994,8.959999999999999,0.0,0.0,0.8024532000865894,24.15118460025429,25.51506467376637,0.24204040169715882,25.51506467376637,25.51506467376637
130,adam,full_baac,0.05151676386594772,0.008461879566311836,0.0,0.0,1.2547149699531195,34.56250000000001,23.625000000000004,8.8,0.0,0.0,1.102603673097677,24.400673326053955,24.85205080930947,0.19958373829722403,24.85205080930947,24.85205080930947
156,adam,full_baac,0.03924420475959778,0.006237939931452274,0.0,0.0,1.3659222216295683,33.074999999999996,23.13,8.64,0.0,0.0,0.181527014461791,24.843631508616447,24.845017515184228,0.1777374804019928,24.845017515184228,24.845017515184228
182,adam,full_baac,0.03376231715083122,0.0047384388744831085,0.0,0.0,1.4809149898031169,31.587499999999995,22.634999999999998,8.479999999999999,0.0,0.0,0.4752831780467881,23.0863228529576,23.709384096745726,0.16651937291026114,23.709384096745726,23.709384096745726
208,adam,full_baac,0.026656612753868103,0.003747299313545227,0.0,0.0,1.5992510791057983,30.099999999999994,22.14,8.32,0.0,0.0,0.2610427395810493,23.49121008861546,24.337783588093192,0.14897024556994426,24.337783588093192,23.709384096745726
234,adam,full_baac,0.016308246180415154,0.003181814681738615,0.0,0.0,1.720590011076132,28.612499999999994,21.644999999999996,8.16,0.0,0.0,0.10165472661713752,23.023824104740513,23.82677817082236,0.14234181717038152,23.82677817082236,23.709384096745726
260,adam,full_baac,0.015126185491681099,0.002916407771408558,0.0,0.0,1.8446606759553488,27.124999999999993,21.149999999999995,8.0,0.0,0.0,0.06192299759746563,23.331913331518173,24.08172627145909,0.14205244407057763,24.08172627145909,23.709384096745726
286,adam,full_baac,0.014593390747904778,0.0029272413812577724,0.0,0.0,1.9712415458035502,25.637499999999996,20.655,7.839999999999999,0.0,0.0,0.09679312693072602,23.4872000036408,24.20365264394203,0.14505535438656805,24.20365264394203,23.709384096745726
312,adam,full_baac,0.012263193726539612,0.0029467802960425615,0.0,0.0,2.1001478500843054,24.149999999999995,20.159999999999997,7.68,0.0,0.0,0.10926625257779325,22.974456320083856,23.67209795633696,0.14998677372932434,23.67209795633696,23.67209795633696
338,adam,full_baac,0.013569089584052563,0.003021294716745615,0.0,0.0,2.2312228776723773,22.662499999999998,19.664999999999996,7.52,0.0,0.0,0.2175729482482645,22.878332850330455,23.559319442129684,0.14789651930332182,23.559319442129684,23.559319442129684
364,adam,full_baac,0.013532125391066074,0.002975929994136095,0.0,0.0,2.364331857359327,21.174999999999997,19.169999999999998,7.359999999999999,0.0,0.019999999999999973,0.13509023976189696,22.67335435880133,23.34220990163299,0.14450665488839148,23.34220990163299,23.34220990163299
390,adam,full_baac,0.014640494249761105,0.0026869997382164,0.0,0.0,2.4993575203308236,19.687500000000004,18.674999999999997,7.2,0.0,0.04,0.09604461485452942,22.31898210317366,22.972903634747162,0.1391645953059196,22.972903634747162,22.972903634747162
416,adam,full_baac,0.011765656061470509,0.002739905146881938,0.0,0.0,2.636196799596872,18.2,18.18,7.04,0.0,0.06000000000000002,0.08369861199529394,21.323293192653296,21.971964835605036,0.13980201110243798,21.971964835605036,21.971964835605036
442,adam,full_baac,0.012571938335895538,0.002751799998804927,0.0,0.0,2.7747583214050624,16.712500000000006,17.685000000000002,6.880000000000001,0.0,0.08,0.22403035347555686,20.99191303347124,21.63214919646331,0.13454044908285137,21.63214919646331,21.63214919646331
468,adam,full_baac,0.01170385628938675,0.002428986132144928,0.0,0.0,2.9149604626997108,15.225,17.19,6.72,0.0,0.08000000000000002,0.07986129471698393,20.716163404517303,21.347821349597783,0.13117467239499092,21.347821349597783,21.347821349597783
494,adam,full_baac,0.011347830295562744,0.0023414860479533672,0.0,0.0,3.056729822246334,13.737499999999999,16.695,6.559999999999999,0.0,0.08,0.02538608905389619,20.42742153299232,20.91560084926544,0.12918538600206375,20.91560084926544,20.91560084926544
520,adam,full_baac,0.011361861601471901,0.002221036935225129,0.0,0.0,3.2000000000000006,12.250000000000002,16.2,6.4,0.0,0.08000000000000002,0.04363573919577839,20.240820223557428,20.554165048620185,0.12949816212058066,20.554165048620185,20.554165048620185
528,lbfgs,full_baac,0.01080053485929966,0.002193618332967162,0.0,0.0,3.2000000000000006,12.250000000000002,16.2,6.4,0.0,0.08000000000000002,,17.503325801477008,17.523463943330945,0.1373878426849842,17.523463943330945,17.523463943330945
536,lbfgs,full_baac,0.00936800055205822,0.0019288569455966353,0.0,0.0,3.2000000000000006,12.250000000000002,16.2,6.4,0.0,0.08000000000000002,,19.509320599581127,19.853899259878236,0.12299338877201078,19.853899259878236,17.523463943330945
544,lbfgs,full_baac,0.010291735641658306,0.002051970921456814,0.0,0.0,3.2000000000000006,12.250000000000002,16.2,6.4,0.0,0.08000000000000002,,17.788588699018895,17.82843712942032,0.13675390258431433,17.82843712942032,17.523463943330945
