epoch,stage,sampling_mode,total,pde,boundary,positivity,w_pde,w_terminal,w_anchor,w_farfield,w_boundary,w_positivity,grad_norm,val_price_q95,val_low_rho_q95,val_residual_q95,val_composite,best_val_composite
1,adam,uniform,2313.097412109375,1.2005071640014648,6.662452697753906,0.0,2.316264967173494,39.58077601736191,24.641763028716763,9.065956970186361,14.661902833267206,0.0,112935.8601940306,1222.6076755559332,1222.6076755559332,1.917407548427581,1222.6076755559332,1222.6076755559332
15,adam,uniform,2763.533447265625,3628.8466796875,0.0005484613357111812,0.0,0.7576139709363838,32.486076680387974,26.960416566541667,7.671988588726308,19.174743728452984,0.0,353739.19464245474,5168.899587320345,5168.899587320345,1.3959092020988464,5168.899587320345,1222.6076755559332
30,adam,uniform,313.6694641113281,346.7066650390625,0.5256825089454651,0.0,0.547304580973459,29.405188034489754,27.557653757533597,5.365588014866795,20.762129792978353,0.0,64869.43685504465,7296.728992133703,7296.728992133703,0.9678124964237206,7296.728992133703,1222.6076755559332
45,adam,uniform,404.5710144042969,599.4916381835938,0.6302723288536072,0.0,0.4771027166077343,27.68600574073907,26.510950529238126,4.9916314014185215,20.576524581949663,0.0,67199.53708566261,5017.2877510821745,5017.2877510821745,0.983990678191185,5017.2877510821745,1222.6076755559332
60,adam,uniform,0.5990796089172363,0.2106456160545349,0.0006705670384690166,0.0,0.3336519485949832,25.712460465587046,25.634448787820798,4.801814797165319,20.3764839169067,0.0,485.4989738998916,530.4687854338462,530.4687854338462,0.6115224629640579,530.4687854338462,530.4687854338462
75,adam,uniform,4.105248928070068,13.545367240905762,0.0031706998124718666,0.0,0.21951117266307574,24.55199173479931,25.12293732925843,4.844906813352928,18.74586461074497,0.0,1657.8251199870058,1239.9242958719938,1239.9242958719938,0.4791705086827278,1239.9242958719938,530.4687854338462
90,adam,uniform,7.945920944213867,3.254363775253296,0.07777431607246399,0.0,0.2113226609518228,22.327786511144346,27.033649258229982,4.508628692726007,16.03827355290319,0.0,1342.230629001883,3554.1357379581536,3554.1357379581536,0.34115217030048367,3554.1357379581536,530.4687854338462
105,adam,uniform,7.758041858673096,0.27845972776412964,0.016729678958654404,0.0,0.22529836891992133,22.218991982747887,24.017951181627488,4.9644701897243255,15.33438581917901,0.0,2776.1446751363624,214.4680523749203,214.4680523749203,0.24985363036394118,214.4680523749203,214.4680523749203
120,adam,uniform,1.5716123580932617,0.02886180579662323,0.005797401536256075,0.0,0.2212369678864987,22.043539087083953,22.12007339062308,5.41150369034251,13.61235285576805,0.0,1171.651970521475,546.6603958367891,546.6603958367891,0.3311847671866417,546.6603958367891,214.4680523749203
135,adam,uniform,0.33258429169654846,0.574738621711731,0.0023310871329158545,0.0,0.3046707159855411,20.177082978701407,20.91324916816136,5.228622260270376,13.438232397212124,0.0,149.94015022354,467.05543845235263,467.05543845235263,0.29537220299243927,467.05543845235263,214.4680523749203
150,adam,uniform,1.427520751953125,1.605762243270874,0.01761780120432377,0.0,0.3862262901073099,18.225176830347447,18.90475969520786,6.4948067109703995,12.709082148038899,0.0,805.207022036973,930.7997126724827,930.7997126724827,0.26812187880277627,930.7997126724827,214.4680523749203
165,adam,uniform,6.476902961730957,4.09061336517334,0.020987743511795998,0.0,0.5876723770041886,15.422779710250342,17.826726420391196,6.980607506761116,12.565093512170009,0.0,2413.9279349552185,1755.0675458373132,1755.0675458373132,0.2521900504827499,1755.0675458373132,214.4680523749203
