epoch,stage,sampling_mode,total,pde,boundary,positivity,w_pde,w_terminal,w_anchor,w_farfield,w_boundary,w_positivity,grad_norm,val_price_q95,val_low_rho_q95,val_residual_q95,val_composite,best_val_composite
1,adam,uniform,6.5776777267456055,1.2594438791275024,0.0,0.0,0.2111638269611683,43.41377810720599,26.99565571544289,7.798319821865023,0.0,0.0,7.036971026015362,604.7361553880681,530.9938989497833,4.770002651214591,604.7361553880681,604.7361553880681
26,adam,uniform,1.6166971921920776,0.41309207677841187,0.0,0.0,0.2726545891399233,41.30188976800892,26.103915766982247,8.744953508467267,0.0,0.0,4.637043074695509,276.5616073879684,200.2681561313627,1.8088802993297568,276.5616073879684,276.5616073879684
52,adam,uniform,0.1931087225675583,0.10977460443973541,0.0,0.0,0.5752753290511573,39.22495132836858,25.23865542230199,9.327547682953503,0.0,0.0,4.359975206935946,69.40490476763009,72.59152846798395,0.7679763734340631,72.59152846798395,72.59152846798395
78,adam,uniform,0.06530541926622391,0.0161996241658926,0.0,0.0,1.0463319544107077,37.5375,24.615000000000002,9.120000000000001,0.0,0.0,0.957032301717297,32.19921553126227,32.30237882355579,0.3280187621712684,32.30237882355579,32.30237882355579
104,adam,residual_refinement,0.036461055278778076,0.005727028474211693,0.0,0.0,1.1478942385652937,36.050000000000004,24.119999999999994,8.959999999999999,0.0,0.0,0.8240699427520459,36.28008824483496,38.38916556816711,0.12948718369007112,38.38916556816711,32.30237882355579
130,adam,residual_refinement,0.025379806756973267,0.004165311343967915,0.0,0.0,1.2547149699531195,34.56250000000001,23.625000000000004,8.8,0.0,0.0,0.38479977966859946,35.6908510923346,38.5119954568474,0.11037152223289012,38.5119954568474,32.30237882355579
156,adam,residual_refinement,0.029385041445493698,0.0035428032279014587,0.0,0.0,1.3659222216295683,33.074999999999996,23.13,8.64,0.0,0.0,0.20998995172943458,33.14161218635791,35.956085809908075,0.10258435532450676,35.956085809908075,32.30237882355579
182,adam,residual_refinement,0.025116870179772377,0.0032783090136945248,0.0,0.0,1.4809149898031169,31.587499999999995,22.634999999999998,8.479999999999999,0.0,0.0,0.09546443616738076,31.789804404182014,34.465254460501626,0.10017665550112724,34.465254460501626,32.30237882355579
208,adam,residual_refinement,0.019133513793349266,0.0031254664063453674,0.0,0.0,1.5992510791057983,30.099999999999994,22.14,8.32,0.0,0.0,0.06150265440906849,29.75600548141247,32.072858122185174,0.10281807817518707,32.072858122185174,32.072858122185174
234,adam,residual_refinement,0.018141480162739754,0.0028890238609164953,0.0,0.0,1.720590011076132,28.612499999999994,21.644999999999996,8.16,0.0,0.0,0.2078612556438071,29.091796085396545,31.339167303720444,0.10042878761887548,31.339167303720444,31.339167303720444
260,adam,residual_refinement,0.020208051428198814,0.002852797508239746,0.0,0.0,1.8446606759553488,27.124999999999993,21.149999999999995,8.0,0.0,0.0,0.15540333834514367,27.636738147073174,29.621783283527645,0.10351812988519667,29.621783283527645,29.621783283527645
286,adam,residual_refinement,0.016260934993624687,0.0026610135100781918,0.0,0.0,1.9712415458035502,25.637499999999996,20.655,7.839999999999999,0.0,0.0,0.095297431432538,26.597336937311752,28.437491454143487,0.1040943443775177,28.437491454143487,28.437491454143487
312,adam,residual_refinement,0.01565728336572647,0.0026751086115837097,0.0,0.0,2.1001478500843054,24.149999999999995,20.159999999999997,7.68,0.0,0.0,0.09352494167183603,25.25209048464319,26.998210843245857,0.10673547238111496,26.998210843245857,26.998210843245857
338,adam,residual_refinement,0.014823105186223984,0.0024392209015786648,0.0,0.0,2.2312228776723773,22.662499999999998,19.664999999999996,7.52,0.0,0.0,0.06022107773606761,24.046921619971,25.692176442033013,0.10698462910950182,25.692176442033013,25.692176442033013
364,adam,residual_refinement,0.01351453922688961,0.0023989819455891848,0.0,0.0,2.364331857359327,21.174999999999997,19.169999999999998,7.359999999999999,0.0,0.019999999999999973,0.16189781577748014,23.035079607578286,24.487703256782144,0.10626718737184998,24.487703256782144,24.487703256782144
390,adam,residual_refinement,0.012528819032013416,0.002278651110827923,0.0,0.0,2.4993575203308236,19.687500000000004,18.674999999999997,7.2,0.0,0.04,0.17144645690087867,22.47922044854463,23.843657185440893,0.10626700632274146,23.843657185440893,23.843657185440893
416,adam,residual_refinement,0.011044871062040329,0.0021274618338793516,0.0,0.0,2.636196799596872,18.2,18.18,7.04,0.0,0.06000000000000002,0.11132512636234927,21.6092198322535,23.05242760258919,0.11234673708677291,23.05242760258919,23.05242760258919
